,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
dist_91,0.01,0.15,0.01,0.02,0,0,0.81,0.14
dist_92,0.01,0.16,0.03,0.02,0.04,0.02,0.72,0.14
dist_93,0.01,0.2,0,0.02,0,0,0.71,0.13
dist_94,0.01,0.17,0.01,0.02,0,0,0.77,0.14
dist_95,0.02,0.33,0.01,0.06,0.03,0,0.85,0.19
dist_96,0.02,0.19,0.01,0.15,0.08,0.11,0.91,0.21
dist_97,0.06,0.36,0.01,0.06,0,0.03,0.92,0.21
dist_98,0.03,0.28,0,0.11,0,0,0.9,0.19
dist_99,0.08,0.49,0.03,0.09,0.1,0.04,0.94,0.25
dns_domain_name,0.01,0.13,0,0.03,0,0,0.87,0.15
dns_domain_rank,0,0,,0,0,0,0.14,
dns_num_ip,0.43,0.16,0.03,0.02,0.06,0.05,0.73,0.21
dns_ttl,0.02,0.13,0.03,0.02,0,0,0.68,0.13
duration,0,0.76,0,0.42,0,0,0.97,0.31
entropy,0.26,0.48,0.13,0.28,0.02,0.02,1,0.31
foriptmean,0,0.33,0,0.04,0,0,0.8,0.17
foriptstd,0,0.21,0,0.03,0,0,0.83,0.15
formean,0.01,0.38,0.02,0.17,0,0,0.96,0.22
forvar,0,0.21,0.01,0.04,0,0,0.85,0.16
http_accept_language,0.26,0.14,0.01,0.04,0.03,0.03,0.58,0.16
http_code,0.33,0.18,0.01,0.03,0.02,0.02,0.57,0.17
http_content_type,0.05,0.09,0,0.02,0,0,0.56,0.1
http_server,0.04,0.1,0.01,0.03,0,0,0.56,0.11
http_user_agent,0.15,0.18,0.06,0.02,0.01,0.01,0.87,0.19
maxbackipt,0,0.83,0.01,0.38,0,0,1,0.32
maxbackpktsize,0,0.52,0.01,0.19,0,0,0.95,0.24
maxfoript,0,0.33,0,0.04,0,0,0.91,0.18
maxforpktsize,0,0.4,0.01,0.16,0,0,0.97,0.22
minbackipt,0,0.73,0.01,0.16,0,0,0.95,0.26
minbackpktsize,0,0.48,0.05,0.09,0,0,0.99,0.23
minfoript,0.01,0.17,0,0.02,0,0,0.71,0.13
minforpktsize,0,0.32,0.05,0.15,0,0,0.98,0.21
